"","drug_name","category1","category2"
"1","mg-132","Metabolic Enzyme/Protease, Autophagy, Apoptosis","Proteasome, Autophagy, Apoptosis"
"2","ly294002","PI3K/Akt/mTOR, Stem Cell/Wnt, Cell Cycle/DNA Damage, Apoptosis, Autophagy","PI3K, Casein Kinase, DNA-PK, Apoptosis, Autophagy"
"3","tamoxifen","Induced Disease Models Products, Vitamin D Related/Nuclear Receptor, Metabolic Enzyme/Protease, Cell Cycle/DNA Damage, Autophagy, Apoptosis","Genetically Engineered Disease Models, Estrogen Receptor/ERR, HSP, Autophagy, Apoptosis"
"4","paclitaxel","Cytoskeleton, Cell Cycle/DNA Damage, Antibody-drug Conjugate/ADC Related, Apoptosis, Autophagy","Microtubule/Tubulin, ADC Cytotoxin, Apoptosis, Autophagy"
"5","y-27632","Cell Cycle/DNA Damage, TGF-beta/Smad, Stem Cell/Wnt, Cytoskeleton, Apoptosis","ROCK, Apoptosis"
"6","acetylcysteine","Immunology/Inflammation, NF-κB, Metabolic Enzyme/Protease, Apoptosis, Anti-infection","Reactive Oxygen Species, Endogenous Metabolite, Apoptosis, Ferroptosis, Influenza Virus"
"7","sb-431542","TGF-beta/Smad, Apoptosis","TGF-β Receptor, Apoptosis"
"8","bortezomib","Metabolic Enzyme/Protease, NF-κB, Apoptosis, Autophagy","Proteasome, NF-κB, Apoptosis, Autophagy"
"9","5-fluorouracil","Cell Cycle/DNA Damage, Anti-infection, Apoptosis, Metabolic Enzyme/Protease","Nucleoside Antimetabolite/Analog, HIV, Apoptosis, Endogenous Metabolite"
"10","trametinib","MAPK/ERK Pathway, Autophagy, Apoptosis","MEK, Autophagy, Apoptosis"
"11","sorafenib","MAPK/ERK Pathway, Protein Tyrosine Kinase/RTK, Autophagy, Apoptosis","Raf, VEGFR, FLT3, Autophagy, Apoptosis, Ferroptosis"
"12","temozolomide","Cell Cycle/DNA Damage, Autophagy, Apoptosis","DNA Alkylator/Crosslinker, Autophagy, Apoptosis"
"13","gemcitabine","Cell Cycle/DNA Damage, Autophagy, Apoptosis","Nucleoside Antimetabolite/Analog, DNA/RNA Synthesis, Autophagy, Apoptosis"
"14","mdivi-1","Cytoskeleton, Autophagy, Apoptosis","Dynamin, Mitophagy, Autophagy, Apoptosis"
"15","ruxolitinib","Epigenetics, Stem Cell/Wnt, Protein Tyrosine Kinase/RTK, JAK/STAT Signaling, Autophagy, Apoptosis","JAK, Autophagy, Mitophagy, Apoptosis"
"16","etoposide","Cell Cycle/DNA Damage, Autophagy, Anti-infection, Apoptosis","Topoisomerase, Autophagy, Mitophagy, Bacterial, Apoptosis, Antibiotic"
"17","decitabine","Epigenetics, Apoptosis, Cell Cycle/DNA Damage","DNA Methyltransferase, Apoptosis, Nucleoside Antimetabolite/Analog"
"18","elesclomol","NF-κB, Metabolic Enzyme/Protease, Immunology/Inflammation, Apoptosis","Reactive Oxygen Species, Apoptosis"
"19","quercetin","PI3K/Akt/mTOR, Autophagy, Immunology/Inflammation, NF-κB, Metabolic Enzyme/Protease, Apoptosis","PI3K, Autophagy, Mitophagy, Reactive Oxygen Species, Apoptosis"
"20","rosiglitazone","Cell Cycle/DNA Damage, Vitamin D Related/Nuclear Receptor, Neuronal Signaling, Membrane Transporter/Ion Channel, Autophagy, Apoptosis","PPAR, TRP Channel, Autophagy, Ferroptosis, Apoptosis"
"21","bay-11-7082","NF-κB, Cell Cycle/DNA Damage, Autophagy, Apoptosis","IKK, Deubiquitinase, Autophagy, Apoptosis, NF-κB"
"22","gefitinib","JAK/STAT Signaling, Protein Tyrosine Kinase/RTK, Autophagy, Apoptosis","EGFR, Autophagy, Apoptosis"
"23","dasatinib","Protein Tyrosine Kinase/RTK, Autophagy, Apoptosis","Bcr-Abl, Src, Autophagy, Apoptosis"
"24","disulfiram","Metabolic Enzyme/Protease, Immunology/Inflammation, Apoptosis","Aldehyde Dehydrogenase (ALDH), Interleukin Related, Pyroptosis, Apoptosis"
"25","docetaxel","Cell Cycle/DNA Damage, Cytoskeleton, Apoptosis, Metabolic Enzyme/Protease","Microtubule/Tubulin, Apoptosis, Endogenous Metabolite"
"26","sb-202190","MAPK/ERK Pathway, Autophagy, Apoptosis","p38 MAPK, Autophagy, Apoptosis"
"27","resveratrol","NF-κB, Autophagy, Epigenetics, Cell Cycle/DNA Damage, Apoptosis, Anti-infection","IKK, Autophagy, Mitophagy, Sirtuin, Apoptosis, Bacterial, Fungal, Antibiotic, Keap1-Nrf2"
"28","everolimus","PI3K/Akt/mTOR, Immunology/Inflammation, Autophagy, Apoptosis, Anti-infection","mTOR, FKBP, Autophagy, Apoptosis, Bacterial"
"29","etomoxir","Apoptosis","Apoptosis"
"30","fulvestrant","Vitamin D Related/Nuclear Receptor, Autophagy, Apoptosis","Estrogen Receptor/ERR, Autophagy, Apoptosis"
"31","nocodazole","Cell Cycle/DNA Damage, Cytoskeleton, Protein Tyrosine Kinase/RTK, Autophagy, Apoptosis","Microtubule/Tubulin, Bcr-Abl, CRISPR/Cas9, Autophagy, Apoptosis"
"32","vorinostat","Cell Cycle/DNA Damage, Epigenetics, Autophagy, Anti-infection, Apoptosis","HDAC, Autophagy, Mitophagy, Filovirus, Apoptosis, HPV"
"33","pexidartinib","Protein Tyrosine Kinase/RTK, Apoptosis","c-Fms, c-Kit, Apoptosis"
"34","cytarabine","Cell Cycle/DNA Damage, Anti-infection, Autophagy, Apoptosis, Metabolic Enzyme/Protease","DNA/RNA Synthesis, Nucleoside Antimetabolite/Analog, HSV, Autophagy, Endogenous Metabolite, Apoptosis, Orthopoxvirus"
"35","melatonin","GPCR/G Protein, Neuronal Signaling, Autophagy, Metabolic Enzyme/Protease, Apoptosis","Melatonin Receptor, Autophagy, Mitophagy, Endogenous Metabolite, Apoptosis"
"36","niraparib","Cell Cycle/DNA Damage, Epigenetics, Apoptosis","PARP, Apoptosis"
"37","methotrexate","Induced Disease Models Products, Cell Cycle/DNA Damage, Antibody-drug Conjugate/ADC Related, Apoptosis, Anti-infection","Immunology and Inflammatory Disease Models, Antifolate, DNA/RNA Synthesis, ADC Cytotoxin, Apoptosis, Bacterial"
"38","tofacitinib","Epigenetics, Stem Cell/Wnt, Protein Tyrosine Kinase/RTK, JAK/STAT Signaling, Apoptosis","JAK, Apoptosis"
"39","valproic-acid","Cell Cycle/DNA Damage, Epigenetics, Autophagy, Anti-infection, Stem Cell/Wnt, Neuronal Signaling, Apoptosis, Metabolic Enzyme/Protease","HDAC, Autophagy, Mitophagy, HIV, Notch, Apoptosis, Endogenous Metabolite"
"40","capsaicin","Membrane Transporter/Ion Channel, Neuronal Signaling, Autophagy, Apoptosis, Metabolic Enzyme/Protease","TRP Channel, Autophagy, Apoptosis, Endogenous Metabolite"
"41","sunitinib","Protein Tyrosine Kinase/RTK, Cell Cycle/DNA Damage, Autophagy, Apoptosis","VEGFR, PDGFR, IRE1, Mitophagy, Autophagy, Apoptosis"
"42","afatinib","JAK/STAT Signaling, Protein Tyrosine Kinase/RTK, Autophagy, Apoptosis, PI3K/Akt/mTOR, MAPK/ERK Pathway","EGFR, Autophagy, Apoptosis, c-Met/HGFR, Akt, p38 MAPK"
"43","sulforaphane","Cell Cycle/DNA Damage, Epigenetics, NF-κB, Apoptosis","HDAC, Keap1-Nrf2, Apoptosis"
"44","simvastatin","Metabolic Enzyme/Protease, Autophagy, Apoptosis","HMG-CoA Reductase (HMGCR), Autophagy, Mitophagy, Apoptosis, Ferroptosis"
"45","anisomycin","Cell Cycle/DNA Damage, MAPK/ERK Pathway, Anti-infection, Apoptosis","DNA/RNA Synthesis, JNK, Bacterial, Apoptosis, Antibiotic, Parasite"
"46","ro-3306","Cell Cycle/DNA Damage, Apoptosis","CDK, Apoptosis"
"47","camptothecin","Cell Cycle/DNA Damage, Antibody-drug Conjugate/ADC Related, Epigenetics, Apoptosis, Anti-infection","Topoisomerase, ADC Cytotoxin, MicroRNA, Influenza Virus, Apoptosis, Fungal, Antibiotic"
"48","fludarabine","Cell Cycle/DNA Damage, Stem Cell/Wnt, JAK/STAT Signaling, Apoptosis","Nucleoside Antimetabolite/Analog, DNA/RNA Synthesis, STAT, Apoptosis"
